查询序号,主题词,卡片名,命中结果数,最高分,一级主题,对应主题页,主题页路径,置信度,匹配分,匹配依据,相近主题词,相近卡片,备选主题页,命中词,主要书名,页码,是否有结果,处理建议,Claude检索建议,是否新增主题
11,唯物史观 中国社会改造 方向方法,0011_唯物史观_中国社会改造_方向方法.md,3,39.71,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,低,24.0,自动主题组匹配：社会改造,李大钊 社会改造 唯物史观(28.82)；中国社会史论战 唯物史观(28.82)；施存统 蔡和森 社会改造 唯物史观(27.5)；吕振羽 史前期中国社会研究 唯物史观(26.82)；唯物史观 中国革命发展战略(26.58),0274_李大钊_社会改造_唯物史观.md；1699_中国社会史论战_唯物史观.md；0275_施存统_蔡和森_社会改造_唯物史观.md；0007_吕振羽_史前期中国社会研究_唯物史观.md；0012_唯物史观_中国革命发展战略.md,,唯物史观、中国社会改造,马克思主义哲学在中国：传播、应用、形态、前景；“新哲学”大众化运动研究；马克思主义哲学中国化理论与历史,362；97；315,是,先核验原卡片再使用,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：唯物史观|中国社会改造|方向方法,否
12,唯物史观 中国革命发展战略,0012_唯物史观_中国革命发展战略.md,3,34.4,理论方法,唯物史观在中国的传播与应用,理论方法/唯物史观在中国的传播与应用.md,高,124.0,已列入原主题页重点卡片；命中主题种子词：唯物史观、中国革命；主题词重合：唯物史观；主题域增强：唯物史观,李大钊 唯物史观 中国革命 指导(30.94)；日本学者 唯物史观 中国传播(27.35)；唯物史观 中国哲学史 研究应用(26.94)；唯物史观 中国社会改造 方向方法(26.58)；李大钊 唯物史观 中国哲学现代转型(26.25),0303_李大钊_唯物史观_中国革命_指导.md；0049_日本学者_唯物史观_中国传播.md；0714_唯物史观_中国哲学史_研究应用.md；0011_唯物史观_中国社会改造_方向方法.md；0743_李大钊_唯物史观_中国哲学现代转型.md,,唯物史观、中国革命发展战略,马克思主义哲学在中国：传播、应用、形态、前景；马克思主义哲学中国化与中国哲学的现代转型；中国文化与马克思主义,367-368；288-290；20,是,可按主题页优先检索,先查主题页《唯物史观在中国的传播与应用》，再在 T3/T10 中检索：唯物史观|中国革命发展战略,否
13,马克思 恩格斯 哲学关系 争论,0013_马克思_恩格斯_哲学关系_争论.md,3,52.4,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,中,33.0,自动主题组匹配：马克思、恩格斯、哲学关系,马克思 恩格斯 新世界观(38.33)；李提摩太 万国公报 马克思 恩格斯(36.58)；恩格斯 马克思主义哲学 系统阐发(21.58)；马克思 哲学思想 形成发展(19.17)；马克思 列宁(18.85),0025_马克思_恩格斯_新世界观.md；0086_李提摩太_万国公报_马克思_恩格斯.md；1094_恩格斯_马克思主义哲学_系统阐发.md；1085_马克思_哲学思想_形成发展.md；1843_马克思_列宁.md,,马克思、恩格斯、哲学关系、争论,马克思主义哲学史教程；艾思奇全书（第3卷）；马克思主义哲学史,217；578-581；501-503,是,可按主题页优先检索,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：马克思|恩格斯|哲学关系|争论,否
14,马克思 辩证法 黑格尔 辩证法,0014_马克思_辩证法_黑格尔_辩证法.md,3,56.4,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,中,20.0,自动主题组匹配：马克思、黑格尔,黑格尔 辩证法 合理内核(39.62)；德波林派 黑格尔 辩证法(39.62)；中国化 马克思主义哲学 认识论 辩证法(20.0)；实践 辩证法 马克思主义哲学 内在逻辑(20.0)；马克思 列宁(19.55),0023_黑格尔_辩证法_合理内核.md；0779_德波林派_黑格尔_辩证法.md；1057_中国化_马克思主义哲学_认识论_辩证法.md；1071_实践_辩证法_马克思主义哲学_内在逻辑.md；1843_马克思_列宁.md,,马克思、辩证法、黑格尔,马克思主义哲学史教程；马克思主义哲学在中国：传播、应用、形态、前景；马克思主义哲学的中国化及其历程,788-789；125-128；170-171,是,可按主题页优先检索,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：马克思|辩证法|黑格尔,否
15,新唯物主义 实践 辩证法,0015_新唯物主义_实践_辩证法.md,3,48.83,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,13.0,自动主题组匹配：新唯物主义,唯物主义 辩证法(27.5)；实践 辩证法 马克思主义哲学 内在逻辑(21.58)；鲁迅 辩证法 唯物论 理想主义(21.25)；唯心主义 辩证法(21.25)；列宁 实践 认识 辩证法(20.36),1747_唯物主义_辩证法.md；1071_实践_辩证法_马克思主义哲学_内在逻辑.md；1592_鲁迅_辩证法_唯物论_理想主义.md；1745_唯心主义_辩证法.md；0835_列宁_实践_认识_辩证法.md,,新唯物主义、实践、辩证法,马克思主义哲学中国化与中国哲学的现代转型；马列著作在中国的出版；马克思主义哲学史教程,451；366；625-627,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：新唯物主义|实践|辩证法,否
16,生产力 生产关系 历史规律,0016_生产力_生产关系_历史规律.md,3,50.48,理论方法,历史唯物主义体系,理论方法/历史唯物主义体系.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：生产力、生产关系；主题词重合：生产力、生产关系,生产力 生产关系 讨论(46.36)；李达 生产力 生产关系(46.36)；生产力 生产关系 斯大林(45.42)；唯物史观 生产力 生产关系(44.62)；生产力 生产关系 交互作用(44.62),0002_生产力_生产关系_讨论.md；0316_李达_生产力_生产关系.md；0906_生产力_生产关系_斯大林.md；0026_唯物史观_生产力_生产关系.md；0044_生产力_生产关系_交互作用.md,,生产力、生产关系、历史规律,马克思主义哲学史教程；马克思主义哲学中国化理论与历史；当前马克思主义研究中的五个重大问题_杨耕,83-85；175；13,是,可按主题页优先检索,先查主题页《历史唯物主义体系》，再在 T3/T10 中检索：生产力|生产关系|历史规律,否
17,阶级斗争 方法 马克思,0017_阶级斗争_方法_马克思.md,3,50.2,理论方法,阶级斗争与社会革命理论,理论方法/阶级斗争与社会革命理论.md,高,115.0,已列入原主题页重点卡片；命中主题种子词：阶级斗争、阶级；主题词重合：阶级斗争,阶级斗争 国家 阶级属性(25.77)；共产党宣言 阶级斗争(25.77)；阶级斗争 简单化 公式化(25.36)；共产党宣言 阶级斗争 历史(25.0)；唯物史观 阶级 阶级斗争 理论(25.0),0028_阶级斗争_国家_阶级属性.md；1662_共产党宣言_阶级斗争.md；0043_阶级斗争_简单化_公式化.md；0029_共产党宣言_阶级斗争_历史.md；0034_唯物史观_阶级_阶级斗争_理论.md,,阶级斗争、方法、马克思,马克思主义哲学史教程；马克思主义哲学史（第六卷；马克思主义哲学中国化与中国哲学的现代转型,107-108；482-484；404-406,是,可按主题页优先检索,先查主题页《阶级斗争与社会革命理论》，再在 T3/T10 中检索：阶级斗争|方法|马克思,否
18,劳动 剩余价值 生产,0018_劳动_剩余价值_生产.md,3,51.8,理论方法,政治经济学与资本主义批判,理论方法/政治经济学与资本主义批判.md,中,33.0,自动主题组匹配：劳动、剩余价值、生产,剩余价值 生产(47.86)；剩余价值 劳动(42.5)；剩余价值 商品(28.33)；资本论 剩余价值(27.5)；剩余价值 资本主义生产关系 本质(26.25),1671_剩余价值_生产.md；1625_剩余价值_劳动.md；1702_剩余价值_商品.md；1670_资本论_剩余价值.md；0030_剩余价值_资本主义生产关系_本质.md,,劳动、剩余价值、生产,马克思主义哲学史教程；艾思奇全书（第1卷）；胡绳全书（第一卷）,117-119；359-361；190-192,是,可按主题页优先检索,先查主题页《政治经济学与资本主义批判》，再在 T3/T10 中检索：劳动|剩余价值|生产,否
19,经济基础 上层建筑 相互作用,0019_经济基础_上层建筑_相互作用.md,3,51.92,理论方法,历史唯物主义体系,理论方法/历史唯物主义体系.md,高,124.0,已列入原主题页重点卡片；命中主题种子词：经济基础、上层建筑；主题词重合：经济基础、上层建筑,李达 经济基础 上层建筑(53.46)；唯物史观 经济基础 上层建筑(51.67)；经济基础 上层建筑 过渡时期(51.67)；经济基础 上层建筑 意识形态(51.67)；语言学问题 经济基础 上层建筑(50.94),0315_李达_经济基础_上层建筑.md；0027_唯物史观_经济基础_上层建筑.md；0641_经济基础_上层建筑_过渡时期.md；1681_经济基础_上层建筑_意识形态.md；0003_语言学问题_经济基础_上层建筑.md,,经济基础、上层建筑、相互作用,马克思主义哲学史教程；马克思主义哲学史(第五卷)；马克思主义哲学中国化理论与历史,195-196；504-506；178,是,可按主题页优先检索,先查主题页《历史唯物主义体系》，再在 T3/T10 中检索：经济基础|上层建筑|相互作用,否
20,拉布里奥拉 历史主义 唯物史观,0020_拉布里奥拉_历史主义_唯物史观.md,3,42.2,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,中,30.0,二级自动主题组匹配：拉布里奥拉、唯物史观、历史主义,拉布里奥拉 唯物史观 方法(56.67)；拉布里奥拉 历史 民族文化(34.38)；戴季陶主义 唯物史观 批判(27.35)；历史哲学教程 唯物史观(25.88)；唯物史观 历史学 研究应用(25.56),0021_拉布里奥拉_唯物史观_方法.md；1101_拉布里奥拉_历史_民族文化.md；0038_戴季陶主义_唯物史观_批判.md；0031_历史哲学教程_唯物史观.md；0005_唯物史观_历史学_研究应用.md,,拉布里奥拉、历史主义、唯物史观,马克思主义哲学史教程；马克思主义哲学中国化理论与历史；马克思主义中国化探论,295-297；170；62,是,可按主题页优先检索,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：拉布里奥拉|历史主义|唯物史观,否
21,拉布里奥拉 唯物史观 方法,0021_拉布里奥拉_唯物史观_方法.md,3,49.42,理论方法,唯物史观与中国史学研究,理论方法/唯物史观与中国史学研究.md,中,20.0,二级自动主题组匹配：拉布里奥拉、唯物史观,拉布里奥拉 历史主义 唯物史观(56.67)；拉布里奥拉 历史 民族文化(31.25)；唯物史观 谈政治(25.77)；唯物史观 李大钊(25.77)；唯物史观 传播热潮(25.36),0020_拉布里奥拉_历史主义_唯物史观.md；1101_拉布里奥拉_历史_民族文化.md；0032_唯物史观_谈政治.md；1775_唯物史观_李大钊.md；0064_唯物史观_传播热潮.md,,拉布里奥拉、唯物史观、方法,马克思主义哲学史教程；马克思主义哲学中国化理论与历史；马列著作在中国的出版,317-318；170；91,是,可按主题页优先检索,先查主题页《唯物史观与中国史学研究》，再在 T3/T10 中检索：拉布里奥拉|唯物史观|方法,否
22,马克思主义 诞生 社会历史条件,0022_马克思主义_诞生_社会历史条件.md,3,51.96,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,10.0,自动主题组匹配：马克思,实践论 矛盾论 写作 社会历史条件(36.25)；新哲学 诞生 黑格尔 费尔巴哈(11.14)；马克思主义哲学 中国传播 历史条件(9.21)；中国马克思主义 历史使命(7.35)；上海 马克思主义者(6.67),0509_实践论_矛盾论_写作_社会历史条件.md；0419_新哲学_诞生_黑格尔_费尔巴哈.md；0100_马克思主义哲学_中国传播_历史条件.md；1818_中国马克思主义_历史使命.md；1740_上海_马克思主义者.md,,马克思主义、诞生、社会历史条件,马克思主义哲学中国化理论与历史；中国近代思想史论；马克思主义哲学在中国传播与发展的百年历史（上）,553；344；4,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：马克思主义|诞生|社会历史条件,否
23,黑格尔 辩证法 合理内核,0023_黑格尔_辩证法_合理内核.md,3,50.21,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,10.0,自动主题组匹配：黑格尔,马克思 辩证法 黑格尔 辩证法(39.62)；德波林派 黑格尔 辩证法(39.62)；辩证法 合法性 问题(20.77)；进攻 防御 辩证法(18.85)；持久 速决 辩证法(18.85),0014_马克思_辩证法_黑格尔_辩证法.md；0779_德波林派_黑格尔_辩证法.md；1076_辩证法_合法性_问题.md；1325_进攻_防御_辩证法.md；1326_持久_速决_辩证法.md,,黑格尔、辩证法、合理内核,艾思奇全书（第3卷）；马恩文集第九卷（反杜林论 自然辩证法）；马克思主义哲学的中国化及其历程,693-696；705；170-171,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：黑格尔|辩证法|合理内核,否
24,费尔巴哈 唯物主义 基本内核,0024_费尔巴哈_唯物主义_基本内核.md,3,40.7,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,13.0,自动主题组匹配：费尔巴哈,列宁 唯物主义(25.77)；德国 费尔巴哈(25.77)；唯心主义 唯物主义(25.36)；唯物主义 辩证法(25.36)；列宁 唯物主义 经验批判论(24.17),1753_列宁_唯物主义.md；1774_德国_费尔巴哈.md；1721_唯心主义_唯物主义.md；1747_唯物主义_辩证法.md；0837_列宁_唯物主义_经验批判论.md,,费尔巴哈、唯物主义,马克思主义哲学史教程；马克思主义哲学史(第五卷)；列宁专题文集·论辩证唯物主义和历史唯物主义,74-75；395-397；36,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：费尔巴哈|唯物主义|基本内核,否
25,马克思 恩格斯 新世界观,0025_马克思_恩格斯_新世界观.md,3,46.2,新哲学大众化,思想方法与世界观教育,新哲学大众化/思想方法与世界观教育.md,高,103.0,已列入原主题页重点卡片；命中主题种子词：世界观,马克思 恩格斯 哲学关系 争论(38.33)；李提摩太 万国公报 马克思 恩格斯(37.35)；科学方法 新世界观 五四(25.0)；恩格斯 马克思主义哲学 系统阐发(20.56)；马克思 列宁(19.55),0013_马克思_恩格斯_哲学关系_争论.md；0086_李提摩太_万国公报_马克思_恩格斯.md；0168_科学方法_新世界观_五四.md；1094_恩格斯_马克思主义哲学_系统阐发.md；1843_马克思_列宁.md,,马克思、恩格斯、新世界观,马克思主义哲学在中国传播与发展的百年历史（上）；马克思主义哲学在中国：传播、应用、形态、前景；马克思主义哲学在中国传播与发展的百年历史（下）,10；412-414；684-686,是,可按主题页优先检索,先查主题页《思想方法与世界观教育》，再在 T3/T10 中检索：马克思|恩格斯|新世界观,否
26,唯物史观 生产力 生产关系,0026_唯物史观_生产力_生产关系.md,3,49.0,理论方法,历史唯物主义体系,理论方法/历史唯物主义体系.md,高,135.0,已列入原主题页重点卡片；命中主题种子词：唯物史观、生产力、生产关系；主题词重合：唯物史观、生产力、生产关系,生产力 生产关系 讨论(46.36)；李达 生产力 生产关系(46.36)；生产力 生产关系 斯大林(45.42)；生产力 生产关系 历史规律(44.62)；生产力 生产关系 交互作用(44.62),0002_生产力_生产关系_讨论.md；0316_李达_生产力_生产关系.md；0906_生产力_生产关系_斯大林.md；0016_生产力_生产关系_历史规律.md；0044_生产力_生产关系_交互作用.md,,唯物史观、生产力、生产关系,马克思主义哲学中国化与中国哲学的现代转型；中国马克思主义学术史纲；马克思主义哲学在中国：传播、应用、形态、前景,311-313；142-146；392-393,是,可按主题页优先检索,先查主题页《历史唯物主义体系》，再在 T3/T10 中检索：唯物史观|生产力|生产关系,否
27,唯物史观 经济基础 上层建筑,0027_唯物史观_经济基础_上层建筑.md,3,44.2,理论方法,历史唯物主义体系,理论方法/历史唯物主义体系.md,高,138.0,已列入原主题页重点卡片；命中主题种子词：唯物史观、经济基础、上层建筑；主题词重合：唯物史观、经济基础、上层建筑,李达 经济基础 上层建筑(53.46)；经济基础 上层建筑 相互作用(51.67)；经济基础 上层建筑 过渡时期(51.67)；经济基础 上层建筑 意识形态(51.67)；语言学问题 经济基础 上层建筑(50.94),0315_李达_经济基础_上层建筑.md；0019_经济基础_上层建筑_相互作用.md；0641_经济基础_上层建筑_过渡时期.md；1681_经济基础_上层建筑_意识形态.md；0003_语言学问题_经济基础_上层建筑.md,,唯物史观、经济基础、上层建筑,中国马克思主义学术史纲；马克思主义哲学中国化与中国哲学的现代转型；马克思主义哲学史教程,100-102；311-313；195-196,是,可按主题页优先检索,先查主题页《历史唯物主义体系》，再在 T3/T10 中检索：唯物史观|经济基础|上层建筑,否
28,阶级斗争 国家 阶级属性,0028_阶级斗争_国家_阶级属性.md,3,50.62,理论方法,阶级斗争与社会革命理论,理论方法/阶级斗争与社会革命理论.md,高,124.0,已列入原主题页重点卡片；命中主题种子词：阶级斗争、阶级、国家；主题词重合：阶级斗争、国家,国家主义派 阶级斗争 批判(27.14)；阶级斗争 方法 马克思(25.77)；共产党宣言 阶级斗争(25.77)；阶级斗争 简单化 公式化(25.36)；共产党宣言 阶级斗争 历史(25.0),0037_国家主义派_阶级斗争_批判.md；0017_阶级斗争_方法_马克思.md；1662_共产党宣言_阶级斗争.md；0043_阶级斗争_简单化_公式化.md；0029_共产党宣言_阶级斗争_历史.md,,阶级斗争、国家、阶级属性,国家主义与20世纪20年代的文化、政治；马克思主义哲学史（第六卷；马克思主义哲学在中国传播与发展的百年历史（上）,173；188-190；5-7,是,可按主题页优先检索,先查主题页《阶级斗争与社会革命理论》，再在 T3/T10 中检索：阶级斗争|国家|阶级属性,否
29,共产党宣言 阶级斗争 历史,0029_共产党宣言_阶级斗争_历史.md,3,51.88,理论方法,阶级斗争与社会革命理论,理论方法/阶级斗争与社会革命理论.md,高,115.0,已列入原主题页重点卡片；命中主题种子词：阶级斗争、阶级；主题词重合：阶级斗争,共产党宣言 阶级斗争(65.0)；共产党宣言(35.0)；共产党宣言 马克思(32.69)；民报 马克思 共产党宣言(31.67)；阶级斗争 方法 马克思(25.0),1662_共产党宣言_阶级斗争.md；1848_共产党宣言.md；1845_共产党宣言_马克思.md；1190_民报_马克思_共产党宣言.md；0017_阶级斗争_方法_马克思.md,,共产党宣言、阶级斗争、历史,马克思主义哲学在中国传播与发展的百年历史（上）；米丁-辩证唯物论历史唯物论下-rightToLeft；马克思主义哲学中国化理论与历史,5-7；224；391,是,可按主题页优先检索,先查主题页《阶级斗争与社会革命理论》，再在 T3/T10 中检索：共产党宣言|阶级斗争|历史,否
